title,slug,productid,missing_tab_dataids,url
Çocuk ve Gençler İçin Unity ile Oyun Geliştirme Özel Ders 16 Saat,cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-16-saat-1601,1601,Ders İçerikleri: 1751,/urun/cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-16-saat-1601/
Çocuk ve Gençler İçin Unity ile Oyun Geliştirme Özel Ders 32 Saat,cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-32-saat-1602,1602,Ders İçerikleri: 1751,/urun/cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-32-saat-1602/
Çocuk ve Gençler İçin Unity ile Oyun Geliştirme Özel Ders 8 Saat,cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-8-saat-1600,1600,Ders İçerikleri: 1751,/urun/cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-ozel-ders-8-saat-1600/
Çocuk ve Gençler İçin Unity ile Oyun Geliştirme Yüz Yüze Eğitimi 8 ay,cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-yuz-yuze-egitimi-8-ay-1419,1419,Ders İçerikleri: 720,/urun/cocuk-ve-gencler-icin-unity-ile-oyun-gelistirme-yuz-yuze-egitimi-8-ay-1419/
Çocuklar İçin Canlı (Online) Yazılım Kursu,cocuklar-icin-canli-online-yazilim-kursu-1357,1357,Ders İçerikleri: 1106,/urun/cocuklar-icin-canli-online-yazilim-kursu-1357/
Çocuklar için Minecraft ile Kodlama Eğitimi 2 ay,cocuklar-icin-minecraft-ile-kodlama-egitimi-2-ay-1692,1692,DERS İÇERİKLERİ: 1918,/urun/cocuklar-icin-minecraft-ile-kodlama-egitimi-2-ay-1692/
Çocuklar İçin Yüz Yüze Yazılım Kursu 3 ay,cocuklar-icin-yuz-yuze-yazilim-kursu-3-ay-1356,1356,Ders İçerikleri: 1101,/urun/cocuklar-icin-yuz-yuze-yazilim-kursu-3-ay-1356/
Çocuklar ve Gençler İçin Yazılım Uzmanlığı Eğitimi Canlı (Online) 2 ay,cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-2-ay-1590,1590,Ders İçerikleri: 1720,/urun/cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-2-ay-1590/
Çocuklar ve Gençler İçin Yazılım Uzmanlığı Eğitimi Canlı (Online) 4 ay,cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-4-ay-1588,1588,Ders İçerikleri: 1720,/urun/cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-4-ay-1588/
Çocuklar ve Gençler İçin Yazılım Uzmanlığı Eğitimi Canlı (Online) 8 ay,cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-8-ay-1589,1589,Ders İçerikleri: 1720,/urun/cocuklar-ve-gencler-icin-yazilim-uzmanligi-egitimi-canli-online-8-ay-1589/
