"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://unityverseacademy.com/urun/unreal-engine-ile-sanal-gerceklik-vr-ozel-ders-yuz-yuze-egitim-1337/","550","158","3,481","45,177","Hard","","","","","","","","","","tr","348b08a9e34ce01cf9d2ec1caae8053e","Indexable",""
"https://unityverseacademy.com/urun/grafik-tasarim-ve-video-efekt-uzmanligi-canli-online-egitimi-1484/","3768","840","4,486","14,132","Very Hard","","","","","","","","","","tr","86e393fb64c8ec9ace4c279ea68310c3","Indexable",""
"https://unityverseacademy.com/urun/yonetmenlik-ve-sinematografiye-giris-yuz-yuze-egitimi-620/","1771","395","4,484","4,184","Very Hard","","","","","","","","","","tr","8dd127b7ab55ec7256dcf55f889b20f6","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-kuyumculuk-ve-taki-tasarimi-egitimi-online-1536/","1427","333","4,285","37,910","Hard","","","","","","","","","","tr","4285d308d9d72985b4aae28062141e82","Indexable",""
"https://unityverseacademy.com/urun/unity-ile-oyun-gelistirme-yuz-yuze-ozel-ders-1361/","3675","727","5,055","9,231","Very Hard","","","","","","","","","","tr","d0ae1e8f90b988d153030a9a699c4729","Indexable",""
"https://unityverseacademy.com/urun/film-ve-animasyon-icin-storyboard-canli-online-egitimi-551/","2531","521","4,858","5,930","Very Hard","","","","","","","","","","tr","d9115c7c492ae3895ee10cbdaea6a4df","Indexable",""
"https://unityverseacademy.com/urun/autocad-egitimi-1519/","813","227","3,581","37,850","Hard","","","","","","","","","","tr","e20b7a13bd1cb8178b3eb4880a5437fd","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-yuz-yuze-egitimi-590/","2159","459","4,704","9,428","Very Hard","","","","","","","","","","tr","2b2725e656f85c1d239b5b842843db42","Indexable",""
"https://unityverseacademy.com/urun/yapay-zeka-destekli-unity-ile-oyun-gelistirme-egitimi-yuz-yuze-1680/","1413","322","4,388","35,277","Hard","","","","","","","","","","tr","125048cba3650d88865d96c2210582ce","Indexable",""
"https://unityverseacademy.com/urun/ispanyolca-egitimi-ozel-ders-1441/","295","101","2,921","63,062","Normal","","","","","","","","","","tr","306ce7bd6b282e40a1f6a85243d44ac8","Indexable",""
"https://unityverseacademy.com/urun/java-yazilim-egitimi-online-819/","2863","586","4,886","7,707","Very Hard","","","","","","","","","","tr","63b8ce56daf12a63579f5440e2b4d7d5","Indexable",""
"https://unityverseacademy.com/urun/zbrush-ile-organik-modelleme-canli-yuz-yuze-ozel-ders-1533/","1007","234","4,303","24,110","Very Hard","","","","","","","","","","tr","f4388da747d4d2f88e63e2a8cede1f2","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-sanal-gerceklik-vr-ozel-ders-online-canli-egitim-1029/","1644","373","4,408","11,600","Very Hard","","","","","","","","","","tr","7bd2c89ec7015cb63549f5df9efaa483","Indexable",""
"https://unityverseacademy.com/urun/unreal-engine-ile-sanal-gerceklik-ozel-ders-online-canli-egitim-1044/","1623","368","4,410","11,839","Very Hard","","","","","","","","","","tr","2266aec6e552269ad53112bf57dc31f7","Indexable",""
"https://unityverseacademy.com/urun/microsoft-office-egitimi-1123/","305","105","2,905","58,264","Fairly Hard","","","","","","","","","","tr","4e553660eb62bdd1f4d5bfdf0fcace39","Indexable",""
"https://unityverseacademy.com/blog-detay/zbrush-kursu-egitimi-296/","720","171","4,211","44,289","Hard","","","","","","","","","","tr","2f06d668c82a02e87ef1ea9382ef2064","Indexable",""
